"melid","performer","title","solopart","chorus_count","instrument","style","tonalitytype","genre","rhythmfeel","avgtempo","tempoclass","key","signature","recordingdate","composer","form","template","label","releasedate"
"1","Art Pepper","Anthropology","1","4","cl","COOL","FUNCTIONAL","ORIGINAL","SWING","218.8","UP","Bb-maj","4/4","25 - 26. 05.1979","Parker, Gillespie","A8A8B8A8","I Got Rhythm","Galaxy Records","1989"
"2","Art Pepper","Blues for Blanche","1","11","as","COOL","BLUES","ORIGINAL","SWING","198.9","UP","Eb-maj","4/4","25 - 26. 05.1979","Art Pepper","A12","Blues","Galaxy Records","1989"
"3","Art Pepper","Desafinado","1","2","as","COOL","FUNCTIONAL","ORIGINAL","LATIN","140.5","MEDIUM UP","F-maj","4/4","25 - 26. 05.1979","Antonio Carlos Jobim","A1612B8C8","","Galaxy Records","1989"
"4","Art Pepper","In a Mellow Tone","1","4","cl","COOL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","167.6","MEDIUM UP","Eb-maj","4/4","25 - 26. 05.1979","Duke Ellington","A16B16","","Galaxy Records","1989"
"5","Art Pepper","Stardust","1","2","as","COOL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","BALLAD","60.7","SLOW","Eb-maj","4/4","25 - 26. 05.1979","Parish, Carmichael","A16B16","","Galaxy Records","1989"
"6","Art Pepper","Stardust","2","1","as","COOL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","BALLAD","60.2","SLOW","Eb-maj","4/4","25 - 26. 05.1979","Parish, Carmichael","A16B16","","Galaxy Records","1989"
"21","Ben Webster","Bye Bye Blackbird","1","3","ts","SWING","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","140.8","MEDIUM UP","G-maj","4/4","1959-11-08","Dixon-Henderson","A16B16","","Giants of Jazz","1993"
"22","Ben Webster","Did You Call Her Today","1","4","ts","SWING","FUNCTIONAL","ORIGINAL","SWING","118.4","MEDIUM","Ab-maj","4/4","1962-06-06","Ben Webster","A8B8A8C8","","Giants of Jazz","1993"
"23","Ben Webster","My Ideal","1","2","ts","SWING","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","74.2","SLOW","Bb-maj","4/4","1956-09-11","Chase-Withing-Robin","A8A8B8","","Giants of Jazz","1993"
"24","Ben Webster","Night and Day","1","2","ts","SWING","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","182.2","UP","D-maj","4/4","1956-09-11","C. Porter","A8B8A8B8C8B8","","Giants of Jazz","1993"
