"Intero";"Carattere"
-42;"a"
-40;"b"
-39;"c"
-38;"d"
-37;"e"
-36;"f"
-35;"g"
-33;"h"
-32;"i"
-31;"j"
-30;"k"
-29;"l"
-28;"m"
-27;"n"
-26;"o"
-25;"p"
-24;"q"
-23;"r"
-22;"s"
-21;"t"
-20;"u"
-19;"v"
-18;"w"
-17;"x"
-16;"y"
-15;"z"
-14;"A"
-13;"B"
-12;"C"
-11;"D"
-10;"E"
-9;"F"
-8;"G"
-7;"H"
-6;"I"
-5;"J"
-4;"K"
-3;"L"
-2;"M"
-1;"N"
0;"O"
1;"P"
2;"Q"
3;"R"
4;"S"
5;"T"
6;"U"
7;"V"
8;"W"
9;"X"
10;"Y"
11;"Z"
12;"0"
13;"1"
14;"2"
15;"3"
16;"4"
17;"5"
18;"6"
19;"7"
20;"8"
21;"9"
22;"!"
23;"/"
24;"#"
25;"$"
26;"%"
27;"&"
28;"?"
29;"("
30;")"
31;"*"
33;"+"
41;","
